id,acc,label,uri
88b08ad9-7578-5785-b72a-f91d354cd7a9,729659,S100A11P1,https://www.ncbi.nlm.nih.gov/gene/729659
412069b3-9ef3-597f-a87c-ea85c32018f1,167555,FAM151B,https://www.ncbi.nlm.nih.gov/gene/167555
a3d66f19-3a65-5e2c-bf03-ea0b7e2d4517,2783,GNB2,https://www.ncbi.nlm.nih.gov/gene/2783
34fe0b8e-b205-5f0b-abeb-9341c68020cc,152940,C4ORF45,https://www.ncbi.nlm.nih.gov/gene/152940
e8fd7f01-8dd9-5fcf-8371-97fbf4becf41,670,BPHL,https://www.ncbi.nlm.nih.gov/gene/670
853a7aee-dada-5667-836f-ae34bfbeeaba,22838,RNF44,https://www.ncbi.nlm.nih.gov/gene/22838
9a82f6c8-c755-5bb8-bb47-0f564999ed6d,9813,EFCAB14,https://www.ncbi.nlm.nih.gov/gene/9813
584adf67-9919-5f5e-927f-461d44abfc4b,100499483,CCDC180,https://www.ncbi.nlm.nih.gov/gene/100499483
0cd5dc49-a52d-566c-944f-760a265f68d6,83638,C11ORF68,https://www.ncbi.nlm.nih.gov/gene/83638
0450ecec-99e1-56ea-bfec-e731cf77a9f5,541565,C8ORF58,https://www.ncbi.nlm.nih.gov/gene/541565
4c434fa7-3351-55c3-baf4-446f8a90c328,84288,EFCAB2,https://www.ncbi.nlm.nih.gov/gene/84288
72af2c41-ec07-5072-832b-15e6ded0fce6,9899,SV2B,https://www.ncbi.nlm.nih.gov/gene/9899
94804139-cb3f-5d6d-8d11-3009c281026e,81555,YIPF5,https://www.ncbi.nlm.nih.gov/gene/81555
71459b1e-4ef3-5edd-ad99-3adb70225a36,2793,GNGT2,https://www.ncbi.nlm.nih.gov/gene/2793
76e6aa49-acf8-5d94-84dd-f82b7db7cb52,116236,ABHD15,https://www.ncbi.nlm.nih.gov/gene/116236
0a0faf0d-dc75-511d-81d0-5cb93327e933,57228,SMAGP,https://www.ncbi.nlm.nih.gov/gene/57228
0a4739e7-ce1d-5c47-977b-10aeee5e63f3,254048,UBN2,https://www.ncbi.nlm.nih.gov/gene/254048
8fcdedab-1ad1-5cdc-8f7b-be42cf085043,51764,GNG13,https://www.ncbi.nlm.nih.gov/gene/51764
166810d6-4df7-5875-9c55-18db0a407ad0,340596,LHFPL1,https://www.ncbi.nlm.nih.gov/gene/340596
c04201ff-0124-5535-8d05-96492848c75c,9920,KBTBD11,https://www.ncbi.nlm.nih.gov/gene/9920
43f7d8de-00d7-5955-9ec6-5cb71dd9d4db,127700,OSCP1,https://www.ncbi.nlm.nih.gov/gene/127700
d49a6a8f-b730-5ab5-b792-9dcc2b471cab,28969,BZW2,https://www.ncbi.nlm.nih.gov/gene/28969
51176b7f-3b0b-5f19-b14f-ba93e336915d,285126,DNAJC5G,https://www.ncbi.nlm.nih.gov/gene/285126
e7bd6a57-2c6d-5218-99c5-b87770ae3fae,79957,PAQR6,https://www.ncbi.nlm.nih.gov/gene/79957
66ae12c9-4d22-5b5e-ac1a-b0fad8db099a,57147,SCYL3,https://www.ncbi.nlm.nih.gov/gene/57147
9746366b-7fe1-5658-94d4-883a019a2961,118663,BTBD16,https://www.ncbi.nlm.nih.gov/gene/118663
a1208ed5-2f4f-57af-90f0-ba635c818ddd,23150,FRMD4B,https://www.ncbi.nlm.nih.gov/gene/23150
df6f8097-dccd-5622-bfa1-51ff19a92f45,643037,C11ORF97,https://www.ncbi.nlm.nih.gov/gene/643037
82c2812f-4fc5-51e4-91af-948b6ca188b1,91582,RPS19BP1,https://www.ncbi.nlm.nih.gov/gene/91582
e608070c-176e-5165-aa12-6809f645991c,388633,LDLRAD1,https://www.ncbi.nlm.nih.gov/gene/388633
e6e531eb-10cd-5c51-9456-858644f11918,4477,MSMB,https://www.ncbi.nlm.nih.gov/gene/4477
66662895-becd-5ae6-a592-f53c9f648930,921,CD5,https://www.ncbi.nlm.nih.gov/gene/921
82168dff-d6d5-55d0-aee5-d7bd7f982bf3,9028,RHBDL1,https://www.ncbi.nlm.nih.gov/gene/9028
c2df801f-5b11-566b-96b1-95c3a7b40634,85012,TCEAL3,https://www.ncbi.nlm.nih.gov/gene/85012
85162c34-598b-57ec-8f73-93c0d708c5a7,57124,CD248,https://www.ncbi.nlm.nih.gov/gene/57124
8566055f-7865-5fd2-aa70-459c132d4bb0,116534,MRGPRE,https://www.ncbi.nlm.nih.gov/gene/116534
cd315f29-0a26-53e5-9926-f5967e0647c7,25941,TPGS2,https://www.ncbi.nlm.nih.gov/gene/25941
78178577-1b1e-5173-a2fc-ddd07c32112f,10567,RABAC1,https://www.ncbi.nlm.nih.gov/gene/10567
a2e29716-73cc-5d6f-a0d4-e26d31e8876e,441151,TMEM151B,https://www.ncbi.nlm.nih.gov/gene/441151
aeb9f593-8da3-5180-aafb-fb0d93ad5184,400566,C17ORF97,https://www.ncbi.nlm.nih.gov/gene/400566
424116cb-ad71-507d-b88c-6f8a24a18865,60626,RIC8A,https://www.ncbi.nlm.nih.gov/gene/60626
62b913ff-cb61-52de-b070-9b031d37e51a,51540,SCLY,https://www.ncbi.nlm.nih.gov/gene/51540
9b3eb5af-82a5-50af-b6ac-71c131b866f5,83449,PMFBP1,https://www.ncbi.nlm.nih.gov/gene/83449
61d2b2e2-928f-5354-bea6-5b4011dc5f48,146223,CMTM4,https://www.ncbi.nlm.nih.gov/gene/146223
132f439e-37dd-5b2a-b8b4-a347104c2776,84221,SPATC1L,https://www.ncbi.nlm.nih.gov/gene/84221
1d3cae24-5ab5-5942-953e-546163615b31,79730,NSUN7,https://www.ncbi.nlm.nih.gov/gene/79730
a9f75780-c791-5171-8330-ad7dca80a648,5535,PPP3R2,https://www.ncbi.nlm.nih.gov/gene/5535
a134c469-43a7-5383-bb47-fc61a77f9f73,4956,ODF1,https://www.ncbi.nlm.nih.gov/gene/4956
33fc9f69-2289-5ae5-b9b0-b3bb1a7365b2,390443,RNASE9,https://www.ncbi.nlm.nih.gov/gene/390443
da6ff485-1ed9-5d0e-80b7-d8809430c74f,64753,CCDC136,https://www.ncbi.nlm.nih.gov/gene/64753
19dc5c8e-0ab7-5874-89db-9a9fd741b38a,157855,KCNU1,https://www.ncbi.nlm.nih.gov/gene/157855
26ac9a67-e67e-523d-b030-2fd43c48c3db,30010,NXPH1,https://www.ncbi.nlm.nih.gov/gene/30010
0779906b-2cbc-5af6-8ec0-b529784cf4cc,22884,WDR37,https://www.ncbi.nlm.nih.gov/gene/22884
40329fb4-4f0e-5ccf-a111-f27871cad71d,54584,GNB1L,https://www.ncbi.nlm.nih.gov/gene/54584
c46b3aac-c914-57b1-a5e8-d45e5515ee69,84900,RNFT2,https://www.ncbi.nlm.nih.gov/gene/84900
56d10f58-0389-5bbd-b921-f7c8cc50bba5,388799,FAM209B,https://www.ncbi.nlm.nih.gov/gene/388799
1bd9a94f-c141-5ad0-90c3-32aa8f64364a,83475,DOHH,https://www.ncbi.nlm.nih.gov/gene/83475
ea6719bb-5f53-57d7-b396-4c535121f6d9,55076,TMEM45A,https://www.ncbi.nlm.nih.gov/gene/55076
97b4ff88-569e-597a-94e1-1579bfeada8b,81552,VOPP1,https://www.ncbi.nlm.nih.gov/gene/81552
c96422b7-1941-5840-9a1e-3e80fac2512a,962,CD48,https://www.ncbi.nlm.nih.gov/gene/962
